2020-05-15 23:22:03.908 INFO  [main]com.whz.shiro.ShiroApplication.logStarting:55 -Starting ShiroApplication on DESKTOP-VN7JL54 with PID 7796 (D:\资料文档\后台\SpringBoot\shiro\target\classes started by 86188 in D:\资料文档\后台\SpringBoot\shiro)
2020-05-15 23:29:37.993 DEBUG [http-nio-8090-exec-5]com.whz.shiro.mapper.LogMapper.save.debug:159 -==>  Preparing: insert into bl_log( log_url, log_params, log_status, log_message, log_method, log_time, log_result, log_ip ) values ( ?, ?, ?, ?, ?, ?, ?, ? ) 
2020-05-15 23:29:37.994 DEBUG [http-nio-8090-exec-5]com.whz.shiro.mapper.LogMapper.save.debug:159 -==> Parameters: /test/testException/1(String), [1](String), 1(Integer), null, GET(String), 2(Long), {"code":20000,"msg":"操作成功！"}(String), 0:0:0:0:0:0:0:1(String)
2020-05-15 23:29:38.011 DEBUG [http-nio-8090-exec-5]com.whz.shiro.mapper.LogMapper.save.debug:159 -<==    Updates: 1
2020-05-15 23:31:05.387 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.printRequestLog:106 -请求地址 : /test/testException/1
2020-05-15 23:31:05.388 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.printRequestLog:107 -请求方式 : GET
2020-05-15 23:31:05.388 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.printRequestLog:110 -IP : 0:0:0:0:0:0:0:1
2020-05-15 23:31:05.388 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.printRequestLog:112 -方法 : com.whz.shiro.controller.TestController.testException
2020-05-15 23:31:05.389 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.printRequestLog:114 -请求参数：[1]
2020-05-15 23:31:05.389 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.doAround:61 -耗时 : 2
2020-05-15 23:31:05.389 INFO  [http-nio-8090-exec-8]com.whz.shiro.aspect.RequestAspect.doAfterReturning:75 -返回值：{"code":20000,"msg":"操作成功！"}
2020-05-15 23:31:05.394 DEBUG [http-nio-8090-exec-8]com.whz.shiro.mapper.LogMapper.save.debug:159 -==>  Preparing: insert into bl_log( log_url, log_params, log_status, log_message, log_method, log_time, log_result, log_ip ) values ( ?, ?, ?, ?, ?, ?, ?, ? ) 
2020-05-15 23:31:05.398 DEBUG [http-nio-8090-exec-8]com.whz.shiro.mapper.LogMapper.save.debug:159 -==> Parameters: /test/testException/1(String), [1](String), 1(Integer), null, GET(String), 2(Long), {"code":20000,"msg":"操作成功！"}(String), 0:0:0:0:0:0:0:1(String)
2020-05-15 23:31:05.411 DEBUG [http-nio-8090-exec-8]com.whz.shiro.mapper.LogMapper.save.debug:159 -<==    Updates: 1
2020-05-15 23:34:19.698 INFO  [SpringContextShutdownHook]o.s.scheduling.concurrent.ThreadPoolTaskExecutor.shutdown:218 -Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 23:34:19.705 INFO  [SpringContextShutdownHook]com.alibaba.druid.pool.DruidDataSource.close:1825 -{dataSource-1} closed
2020-05-15 23:34:34.257 INFO  [main]com.whz.shiro.ShiroApplication.logStarting:55 -Starting ShiroApplication on DESKTOP-VN7JL54 with PID 21968 (D:\资料文档\后台\SpringBoot\shiro\target\classes started by 86188 in D:\资料文档\后台\SpringBoot\shiro)
2020-05-15 23:34:34.330 DEBUG [main]com.whz.shiro.ShiroApplication.logStarting:56 -Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE
2020-05-15 23:34:34.331 INFO  [main]com.whz.shiro.ShiroApplication.logStartupProfileInfo:655 -The following profiles are active: dev
2020-05-15 23:34:37.065 INFO  [main]o.s.boot.web.embedded.tomcat.TomcatWebServer.initialize:91 -Tomcat initialized with port(s): 8090 (http)
2020-05-15 23:34:37.089 INFO  [main]org.apache.coyote.http11.Http11NioProtocol.log:173 -Initializing ProtocolHandler ["http-nio-8090"]
2020-05-15 23:34:37.091 INFO  [main]org.apache.catalina.core.StandardService.log:173 -Starting service [Tomcat]
2020-05-15 23:34:37.092 INFO  [main]org.apache.catalina.core.StandardEngine.log:173 -Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-15 23:34:37.096 INFO  [main]org.apache.catalina.core.AprLifecycleListener.log:173 -Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-05-15 23:34:37.097 INFO  [main]org.apache.catalina.core.AprLifecycleListener.log:173 -APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-05-15 23:34:37.098 INFO  [main]org.apache.catalina.core.AprLifecycleListener.log:173 -APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-05-15 23:34:37.109 INFO  [main]org.apache.catalina.core.AprLifecycleListener.log:173 -OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-05-15 23:34:37.348 INFO  [main]o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log:173 -Initializing Spring embedded WebApplicationContext
2020-05-15 23:34:37.349 INFO  [main]org.springframework.web.context.ContextLoader.prepareWebApplicationContext:284 -Root WebApplicationContext: initialization completed in 2902 ms
2020-05-15 23:34:37.640 INFO  [main]c.a.d.s.boot.autoconfigure.DruidDataSourceAutoConfigure.dataSource:56 -Init DruidDataSource
2020-05-15 23:34:40.141 INFO  [main]com.alibaba.druid.pool.DruidDataSource.init:930 -{dataSource-1} inited
2020-05-15 23:34:42.597 INFO  [main]o.s.scheduling.concurrent.ThreadPoolTaskExecutor.initialize:181 -Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 23:34:43.312 INFO  [main]org.apache.coyote.http11.Http11NioProtocol.log:173 -Starting ProtocolHandler ["http-nio-8090"]
2020-05-15 23:34:43.357 INFO  [main]o.s.boot.web.embedded.tomcat.TomcatWebServer.start:203 -Tomcat started on port(s): 8090 (http) with context path ''
2020-05-15 23:34:43.364 INFO  [main]com.whz.shiro.ShiroApplication.logStarted:61 -Started ShiroApplication in 10.269 seconds (JVM running for 13.36)
2020-05-15 23:34:48.959 INFO  [http-nio-8090-exec-2]o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log:173 -Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-15 23:34:48.960 INFO  [http-nio-8090-exec-2]org.springframework.web.servlet.DispatcherServlet.initServletBean:525 -Initializing Servlet 'dispatcherServlet'
2020-05-15 23:34:48.978 INFO  [http-nio-8090-exec-2]org.springframework.web.servlet.DispatcherServlet.initServletBean:547 -Completed initialization in 18 ms
2020-05-15 23:34:49.039 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.printRequestLog:106 -请求地址 : /test/testException/1
2020-05-15 23:34:49.041 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.printRequestLog:107 -请求方式 : GET
2020-05-15 23:34:49.043 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.printRequestLog:110 -IP : 0:0:0:0:0:0:0:1
2020-05-15 23:34:49.046 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.printRequestLog:112 -方法 : com.whz.shiro.controller.TestController.testException
2020-05-15 23:34:49.046 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.printRequestLog:114 -请求参数：[1]
2020-05-15 23:34:49.053 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.doAround:61 -耗时 : 15
2020-05-15 23:34:49.168 INFO  [http-nio-8090-exec-2]com.whz.shiro.aspect.RequestAspect.doAfterReturning:75 -返回值：{"code":20000,"msg":"操作成功！"}
2020-05-15 23:34:49.215 DEBUG [http-nio-8090-exec-2]com.whz.shiro.mapper.LogMapper.save.debug:159 -==>  Preparing: insert into bl_log( log_url, log_params, log_status, log_message, log_method, log_time, log_result, log_ip ) values ( ?, ?, ?, ?, ?, ?, ?, ? ) 
2020-05-15 23:34:49.267 DEBUG [http-nio-8090-exec-2]com.whz.shiro.mapper.LogMapper.save.debug:159 -==> Parameters: /test/testException/1(String), [1](String), 1(Integer), null, GET(String), 15(Long), {"code":20000,"msg":"操作成功！"}(String), 0:0:0:0:0:0:0:1(String)
2020-05-15 23:34:49.287 DEBUG [http-nio-8090-exec-2]com.whz.shiro.mapper.LogMapper.save.debug:159 -<==    Updates: 1
2020-05-15 23:35:11.512 INFO  [http-nio-8090-exec-3]com.whz.shiro.aspect.RequestAspect.printRequestLog:106 -请求地址 : /test/testException/1
2020-05-15 23:35:11.513 INFO  [http-nio-8090-exec-3]com.whz.shiro.aspect.RequestAspect.printRequestLog:107 -请求方式 : GET
